GaiaDR3,Cluster,Pmemb,Note,RAdeg,DEdeg,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,Gmag,BPmag,RPmag,Gmagcor,(G-RP)cor
389180288208174080,NGC_752,1,N,8.9352,46.3966,8.31,0.068,-13.042,0.056,2.321,0.076,17.313,18.535,16.229,17.214,1.059
387660763136375936,NGC_752,0.94,N,9.5233,43.7326,10.529,0.019,-11.661,0.019,2.476,0.026,14.03,14.523,13.379,13.93,0.625
387839601279087616,NGC_752,1,N,9.5752,44.3265,9.891,0.089,-11.157,0.087,2.272,0.092,17.392,18.482,16.333,17.293,1.033
2809551310490174208,NGC_752,1,N,10.0315,27.459,9.869,0.02,-11.911,0.014,2.365,0.018,13.518,13.942,12.929,13.458,0.574
365619502073764480,NGC_752,0.7,N,10.3273,35.9378,10.023,0.045,-12.271,0.034,2.356,0.049,16.263,17.175,15.323,16.199,0.924
381278544820660608,NGC_752,0.99,N,10.4747,41.4047,9.674,0.161,-11.476,0.129,2.27,0.156,17.965,19.343,16.809,17.901,1.139
2806515357023237760,NGC_752,0.74,N,10.9202,24.8901,10.181,0.027,-11.433,0.02,2.201,0.027,7.799,8.391,7.063,7.656,0.7
2808439845969028736,NGC_752,1,N,10.9716,26.2805,9.673,0.018,-12.32,0.013,2.182,0.017,13.522,13.907,12.971,13.38,0.515
381295484174392960,NGC_752,0.89,N,11.0163,41.5708,9.592,0.013,-11.056,0.015,2.305,0.02,8.732,9.262,8.047,8.668,0.669
368844747635229440,NGC_752,0.71,N,11.232,39.7116,10.805,0.113,-12.01,0.102,2.393,0.124,17.852,19.229,16.734,17.788,1.102
361243789392155776,NGC_752,0.95,N,11.788,32.9801,11.273,0.137,-11.486,0.094,2.377,0.153,17.981,19.161,16.888,17.991,1.096
375237381254742912,NGC_752,0.89,N,11.8739,41.5817,10.413,0.091,-10.979,0.077,2.289,0.096,17.527,18.793,16.447,17.463,1.063
368983462194174592,NGC_752,1,N,11.9044,40.386,10.088,0.013,-11.654,0.01,2.216,0.015,12.318,12.655,11.817,12.254,0.484
360858586660612352,NGC_752,0.87,N,12.6952,31.6801,9.433,0.024,-12.387,0.017,2.236,0.025,14.751,15.349,14.015,14.761,0.739
374163051018288768,NGC_752,0.52,N,13.2034,40.227,10.909,0.013,-10.83,0.01,2.419,0.015,9.853,10.075,9.475,9.789,0.361
364657223240299776,NGC_752,0.84,N,13.947,37.3975,9.189,0.082,-12.064,0.049,2.194,0.094,17.102,18.153,16.082,17.002,0.994
374069081429552512,NGC_752,1,N,14.4722,40.6805,10.365,0.025,-11.497,0.018,2.457,0.025,14.55,15.109,13.836,14.486,0.698
307736163400709120,NGC_752,1,N,14.5149,27.265,9.845,0.022,-11.899,0.018,2.161,0.019,13.722,14.124,13.152,13.716,0.568
363401928854323072,NGC_752,1,N,14.6093,35.1728,10.863,0.034,-11.842,0.029,2.336,0.043,15.751,16.568,14.866,15.692,0.87
2805333725620748160,NGC_752,1,N,14.8846,25.5792,9.409,0.053,-12.219,0.041,2.282,0.057,16.022,16.919,15.094,16.017,0.927
374660721764799232,NGC_752,1,N,14.9305,41.5835,8.711,0.016,-13.046,0.01,2.254,0.015,8.879,9.527,8.11,8.815,0.752
370686330827642624,NGC_752,0.98,N,15.9249,38.9536,10.929,0.013,-11.101,0.011,2.352,0.016,12.478,12.777,12.019,12.379,0.434
371425340081112704,NGC_752,0.71,N,16.6579,40.5354,11.047,0.084,-11.28,0.07,2.457,0.101,17.26,18.445,16.185,17.161,1.05
369797891072741248,NGC_752,1,N,16.6746,37.8334,10.079,0.016,-11.447,0.016,2.212,0.019,13.607,14.001,13.048,13.548,0.544
371530309081240832,NGC_752,0.58,N,16.7234,41.3205,10.334,0.052,-11.999,0.043,2.435,0.054,16.605,17.623,15.608,16.541,0.981
370242918403900032,NGC_752,0.96,N,17.1372,38.9591,11.272,0.018,-11.012,0.019,2.35,0.019,11.469,11.692,11.095,11.37,0.349
