Cluster,GaiaDR2,RAdeg,DEdeg,pmRA,pmDE,plx,Gmag,BP-RP,Pmemb,r
Trumpler_5,3326866686638968192,99.15398,9.84849,-0.886,0.393,0.305,16.63,1.13,1,23.06
Trumpler_5,3326859956425708672,99.14087,9.68812,-0.503,0.269,0.2726,15.86,0.96,1,13.41
Trumpler_5,3326860300023095424,99.11233,9.70845,-0.606,0.434,0.2905,16.11,1.22,1,14.62
Trumpler_5,3326805908557292416,99.30096,9.48685,-0.531,0.302,0.2298,15.74,1,1,10.43
Trumpler_5,3326832606074193792,99.03222,9.51578,-0.498,0.33,0.3076,15.38,1.2,1,6.33
Trumpler_5,3326783368568993664,99.20329,9.48376,-0.524,0.136,0.3578,16.01,0.97,1,4.71
Trumpler_5,3326785773750739328,99.15572,9.4613,-0.711,0.651,0.4082,14.64,0.93,1,1.773
Trumpler_5,3326811096877800448,99.18003,9.57456,-0.505,0.349,0.2993,15.38,0.98,1,7.31
Trumpler_5,3326786353568812416,99.17257,9.50547,-0.605,0.314,0.2757,15.39,0.94,1,3.673
Trumpler_5,3326810478402457088,99.28001,9.566,-0.534,0.432,0.2583,15.83,0.88,1,10.94
Trumpler_5,3326783059331363200,99.21206,9.45875,-0.952,0.147,0.226,16.58,1.14,1,5.107
Trumpler_5,3326782234697640448,99.23791,9.43704,-0.398,0.446,0.3431,16.02,1.22,1,6.832
Trumpler_5,3326787246922051584,99.09515,9.52092,-0.598,0.199,0.2382,16.77,1.08,1,3.819
Trumpler_5,3326784605519674624,99.1033,9.47064,-0.836,0.211,0.2577,16.3,1.02,1,1.385
Trumpler_5,3326784257630416256,99.13674,9.44207,-0.657,0.357,0.3414,15.62,0.94,1,1.515
Trumpler_5,3326784399361287808,99.09038,9.4393,-0.431,0.289,0.2367,15.98,1.02,1,2.611
Trumpler_5,3326787079420759936,99.12352,9.5298,-0.294,0.111,0.2874,15.65,1.23,1,3.891
Trumpler_5,3326825459248778112,98.89656,9.39192,-0.608,0.435,0.3007,15.35,1.2,1,14.27
Trumpler_5,3326781989881775744,99.27842,9.43393,-0.64,0.312,0.3425,15.97,1.27,1,9.212
Trumpler_5,3326782303417071104,99.2736,9.46004,-0.669,0.349,0.3731,16.17,0.83,1,8.74
Trumpler_5,3326835384915663616,99.04274,9.59052,-0.384,0.313,0.2685,15.65,1.26,1,8.999
Trumpler_5,3326809447610239232,99.39148,9.61404,-0.796,0.372,0.1913,16.08,1.17,1,18.07
Trumpler_5,3326761412696403200,99.14924,9.26322,-0.419,-0.097,0.2973,16.36,1.02,1,12.18
Trumpler_5,3326757800625214208,99.09923,9.12746,-0.682,0.158,0.2276,15.63,1.24,1,20.31
